Names,Nations,Scores,Total Scores
"Joao Chianca,Filipe Toledo,Jack Robinson,Griffin Colapinto,Ethan Ewing,John John Florence,Gabriel Medina,Ryan Callinan,Yago Dora,Leonardo Fioravanti,Connor O'Leary,Caio Ibelli,Matthew McGillivray,Callum Robson,Jordy Smith,Italo Ferreira,Barron Mamiya,Liam O'Brien,Rio Waida,Kanoa Igarashi,Seth Moniz,Ian Gentil,Samuel Pupo,Nat Young,Jackson Baker,Miguel Pupo,Kelly Slater,Michael Rodrigues,Maxime Huscenot,Jake Marshall,Kolohe Andino,Ezekiel Lau,Carlos Munoz,Jadson Andre,Ramzi Boukhiam","Brazil,Brazil,Australia,United States,Australia,Hawaii,Brazil,Australia,Brazil,Italy,Australia,Brazil,South Africa,Australia,South Africa,Brazil,Hawaii,Australia,Indonesia,Japan,Hawaii,Hawaii,Brazil,United States,Australia,Brazil,United States,Brazil,France,United States,United States,Hawaii,Costa Rica,Brazil,Morocco","6,085,6,085,10,000,3,320,6,085,-,-,-,-,-,4,745,10,000,1,330,6,085,4,745,-,-,-,-,-,10,000,6,085,7,800,1,330,265,-,-,-,-,-,1,330,7,800,4,745,4,745,7,800,-,-,-,-,-,1,330,4,745,3,320,10,000,4,745,-,-,-,-,-,4,745,3,320,1,330,6,085,6,085,-,-,-,-,-,3,320,3,320,3,320,3,320,10,000,-,-,-,-,-,3,320,1,330,3,320,7,800,3,320,-,-,-,-,-,3,320,1,330,6,085,3,320,3,320,-,-,-,-,-,7,800,3,320,1,330,1,330,3,320,-,-,-,-,-,1,330,265,4,745,4,745,4,745,-,-,-,-,-,6,085,4,745,3,320,1,330,1,330,-,-,-,-,-,265,4,745,1,330,4,745,3,320,-,-,-,-,-,3,320,1,330,6,085,265,3,320,-,-,-,-,-,4,745,1,330,1,330,3,320,3,320,-,-,-,-,-,1,330,3,320,3,320,1,330,3,320,-,-,-,-,-,1,330,1,330,3,320,1,330,4,745,-,-,-,-,-,4,745,1,330,1,330,1,330,3,320,-,-,-,-,-,3,320,1,330,4,745,265,265,-,-,-,-,-,1,330,3,320,1,330,3,320,1,330,-,-,-,-,-,3,320,3,320,1,330,1,330,1,330,-,-,-,-,-,3,320,1,330,3,320,1,330,1,330,-,-,-,-,-,1,330,1,330,4,745,1,330,1,330,-,-,-,-,-,1,330,4,745,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,4,745,1,330,-,-,-,-,-,3,320,3,320,1,330,265,265,-,-,-,-,-,1,330,3,320,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,3,320,265,-,-,-,-,-,1,330,265,265,3,320,1,330,-,-,-,-,-,1,330,1,330,1,330,265,1,330,-,-,-,-,-,1,330,1,330,265,1,330,1,330,-,-,-,-,-,1,330,265,265,1,330,1,330,-,-,-,-,-,1,330,1,330,*,1,330,*,265,*,265,*,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-","28,255,25,575,25,215,25,090,22,810,20,235,19,960,17,760,16,045,15,770,15,565,15,480,14,140,14,055,12,715,11,290,10,725,10,725,9,660,9,300,9,300,9,300,8,735,8,735,8,735,8,235,7,310,7,310,6,245,5,320,5,320,4,255,4,255,1,060,1,060"
,,,
"Joao Chianca,Filipe Toledo,Jack Robinson,Griffin Colapinto,Ethan Ewing,John John Florence,Gabriel Medina,Ryan Callinan,Yago Dora,Leonardo Fioravanti,Connor O'Leary,Caio Ibelli,Matthew McGillivray,Callum Robson,Jordy Smith,Italo Ferreira,Barron Mamiya,Liam O'Brien,Rio Waida,Kanoa Igarashi,Seth Moniz,Ian Gentil,Samuel Pupo,Nat Young,Jackson Baker,Miguel Pupo,Kelly Slater,Michael Rodrigues,Maxime Huscenot,Jake Marshall,Kolohe Andino,Ezekiel Lau,Carlos Munoz,Jadson Andre,Ramzi Boukhiam","Brazil,Brazil,Australia,United States,Australia,Hawaii,Brazil,Australia,Brazil,Italy,Australia,Brazil,South Africa,Australia,South Africa,Brazil,Hawaii,Australia,Indonesia,Japan,Hawaii,Hawaii,Brazil,United States,Australia,Brazil,United States,Brazil,France,United States,United States,Hawaii,Costa Rica,Brazil,Morocco","6,085,6,085,10,000,3,320,6,085,-,-,-,-,-,4,745,10,000,1,330,6,085,4,745,-,-,-,-,-,10,000,6,085,7,800,1,330,265,-,-,-,-,-,1,330,7,800,4,745,4,745,7,800,-,-,-,-,-,1,330,4,745,3,320,10,000,4,745,-,-,-,-,-,4,745,3,320,1,330,6,085,6,085,-,-,-,-,-,3,320,3,320,3,320,3,320,10,000,-,-,-,-,-,3,320,1,330,3,320,7,800,3,320,-,-,-,-,-,3,320,1,330,6,085,3,320,3,320,-,-,-,-,-,7,800,3,320,1,330,1,330,3,320,-,-,-,-,-,1,330,265,4,745,4,745,4,745,-,-,-,-,-,6,085,4,745,3,320,1,330,1,330,-,-,-,-,-,265,4,745,1,330,4,745,3,320,-,-,-,-,-,3,320,1,330,6,085,265,3,320,-,-,-,-,-,4,745,1,330,1,330,3,320,3,320,-,-,-,-,-,1,330,3,320,3,320,1,330,3,320,-,-,-,-,-,1,330,1,330,3,320,1,330,4,745,-,-,-,-,-,4,745,1,330,1,330,1,330,3,320,-,-,-,-,-,3,320,1,330,4,745,265,265,-,-,-,-,-,1,330,3,320,1,330,3,320,1,330,-,-,-,-,-,3,320,3,320,1,330,1,330,1,330,-,-,-,-,-,3,320,1,330,3,320,1,330,1,330,-,-,-,-,-,1,330,1,330,4,745,1,330,1,330,-,-,-,-,-,1,330,4,745,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,4,745,1,330,-,-,-,-,-,3,320,3,320,1,330,265,265,-,-,-,-,-,1,330,3,320,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,3,320,265,-,-,-,-,-,1,330,265,265,3,320,1,330,-,-,-,-,-,1,330,1,330,1,330,265,1,330,-,-,-,-,-,1,330,1,330,265,1,330,1,330,-,-,-,-,-,1,330,265,265,1,330,1,330,-,-,-,-,-,1,330,1,330,*,1,330,*,265,*,265,*,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-","28,255,25,575,25,215,25,090,22,810,20,235,19,960,17,760,16,045,15,770,15,565,15,480,14,140,14,055,12,715,11,290,10,725,10,725,9,660,9,300,9,300,9,300,8,735,8,735,8,735,8,235,7,310,7,310,6,245,5,320,5,320,4,255,4,255,1,060,1,060"
,,,
"Joao Chianca,Filipe Toledo,Jack Robinson,Griffin Colapinto,Ethan Ewing,John John Florence,Gabriel Medina,Ryan Callinan,Yago Dora,Leonardo Fioravanti,Connor O'Leary,Caio Ibelli,Matthew McGillivray,Callum Robson,Jordy Smith,Italo Ferreira,Barron Mamiya,Liam O'Brien,Rio Waida,Kanoa Igarashi,Seth Moniz,Ian Gentil,Samuel Pupo,Nat Young,Jackson Baker,Miguel Pupo,Kelly Slater,Michael Rodrigues,Maxime Huscenot,Jake Marshall,Kolohe Andino,Ezekiel Lau,Carlos Munoz,Jadson Andre,Ramzi Boukhiam","Brazil,Brazil,Australia,United States,Australia,Hawaii,Brazil,Australia,Brazil,Italy,Australia,Brazil,South Africa,Australia,South Africa,Brazil,Hawaii,Australia,Indonesia,Japan,Hawaii,Hawaii,Brazil,United States,Australia,Brazil,United States,Brazil,France,United States,United States,Hawaii,Costa Rica,Brazil,Morocco","6,085,6,085,10,000,3,320,6,085,-,-,-,-,-,4,745,10,000,1,330,6,085,4,745,-,-,-,-,-,10,000,6,085,7,800,1,330,265,-,-,-,-,-,1,330,7,800,4,745,4,745,7,800,-,-,-,-,-,1,330,4,745,3,320,10,000,4,745,-,-,-,-,-,4,745,3,320,1,330,6,085,6,085,-,-,-,-,-,3,320,3,320,3,320,3,320,10,000,-,-,-,-,-,3,320,1,330,3,320,7,800,3,320,-,-,-,-,-,3,320,1,330,6,085,3,320,3,320,-,-,-,-,-,7,800,3,320,1,330,1,330,3,320,-,-,-,-,-,1,330,265,4,745,4,745,4,745,-,-,-,-,-,6,085,4,745,3,320,1,330,1,330,-,-,-,-,-,265,4,745,1,330,4,745,3,320,-,-,-,-,-,3,320,1,330,6,085,265,3,320,-,-,-,-,-,4,745,1,330,1,330,3,320,3,320,-,-,-,-,-,1,330,3,320,3,320,1,330,3,320,-,-,-,-,-,1,330,1,330,3,320,1,330,4,745,-,-,-,-,-,4,745,1,330,1,330,1,330,3,320,-,-,-,-,-,3,320,1,330,4,745,265,265,-,-,-,-,-,1,330,3,320,1,330,3,320,1,330,-,-,-,-,-,3,320,3,320,1,330,1,330,1,330,-,-,-,-,-,3,320,1,330,3,320,1,330,1,330,-,-,-,-,-,1,330,1,330,4,745,1,330,1,330,-,-,-,-,-,1,330,4,745,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,4,745,1,330,-,-,-,-,-,3,320,3,320,1,330,265,265,-,-,-,-,-,1,330,3,320,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,3,320,265,-,-,-,-,-,1,330,265,265,3,320,1,330,-,-,-,-,-,1,330,1,330,1,330,265,1,330,-,-,-,-,-,1,330,1,330,265,1,330,1,330,-,-,-,-,-,1,330,265,265,1,330,1,330,-,-,-,-,-,1,330,1,330,*,1,330,*,265,*,265,*,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-","28,255,25,575,25,215,25,090,22,810,20,235,19,960,17,760,16,045,15,770,15,565,15,480,14,140,14,055,12,715,11,290,10,725,10,725,9,660,9,300,9,300,9,300,8,735,8,735,8,735,8,235,7,310,7,310,6,245,5,320,5,320,4,255,4,255,1,060,1,060"
,,,
"Joao Chianca,Filipe Toledo,Jack Robinson,Griffin Colapinto,Ethan Ewing,John John Florence,Gabriel Medina,Ryan Callinan,Yago Dora,Leonardo Fioravanti,Connor O'Leary,Caio Ibelli,Matthew McGillivray,Callum Robson,Jordy Smith,Italo Ferreira,Barron Mamiya,Liam O'Brien,Rio Waida,Kanoa Igarashi,Seth Moniz,Ian Gentil,Samuel Pupo,Nat Young,Jackson Baker,Miguel Pupo,Kelly Slater,Michael Rodrigues,Maxime Huscenot,Jake Marshall,Kolohe Andino,Ezekiel Lau,Carlos Munoz,Jadson Andre,Ramzi Boukhiam","Brazil,Brazil,Australia,United States,Australia,Hawaii,Brazil,Australia,Brazil,Italy,Australia,Brazil,South Africa,Australia,South Africa,Brazil,Hawaii,Australia,Indonesia,Japan,Hawaii,Hawaii,Brazil,United States,Australia,Brazil,United States,Brazil,France,United States,United States,Hawaii,Costa Rica,Brazil,Morocco","6,085,6,085,10,000,3,320,6,085,-,-,-,-,-,4,745,10,000,1,330,6,085,4,745,-,-,-,-,-,10,000,6,085,7,800,1,330,265,-,-,-,-,-,1,330,7,800,4,745,4,745,7,800,-,-,-,-,-,1,330,4,745,3,320,10,000,4,745,-,-,-,-,-,4,745,3,320,1,330,6,085,6,085,-,-,-,-,-,3,320,3,320,3,320,3,320,10,000,-,-,-,-,-,3,320,1,330,3,320,7,800,3,320,-,-,-,-,-,3,320,1,330,6,085,3,320,3,320,-,-,-,-,-,7,800,3,320,1,330,1,330,3,320,-,-,-,-,-,1,330,265,4,745,4,745,4,745,-,-,-,-,-,6,085,4,745,3,320,1,330,1,330,-,-,-,-,-,265,4,745,1,330,4,745,3,320,-,-,-,-,-,3,320,1,330,6,085,265,3,320,-,-,-,-,-,4,745,1,330,1,330,3,320,3,320,-,-,-,-,-,1,330,3,320,3,320,1,330,3,320,-,-,-,-,-,1,330,1,330,3,320,1,330,4,745,-,-,-,-,-,4,745,1,330,1,330,1,330,3,320,-,-,-,-,-,3,320,1,330,4,745,265,265,-,-,-,-,-,1,330,3,320,1,330,3,320,1,330,-,-,-,-,-,3,320,3,320,1,330,1,330,1,330,-,-,-,-,-,3,320,1,330,3,320,1,330,1,330,-,-,-,-,-,1,330,1,330,4,745,1,330,1,330,-,-,-,-,-,1,330,4,745,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,4,745,1,330,-,-,-,-,-,3,320,3,320,1,330,265,265,-,-,-,-,-,1,330,3,320,1,330,1,330,1,330,-,-,-,-,-,1,330,1,330,1,330,3,320,265,-,-,-,-,-,1,330,265,265,3,320,1,330,-,-,-,-,-,1,330,1,330,1,330,265,1,330,-,-,-,-,-,1,330,1,330,265,1,330,1,330,-,-,-,-,-,1,330,265,265,1,330,1,330,-,-,-,-,-,1,330,1,330,*,1,330,*,265,*,265,*,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-,265,265,265,265,265,-,-,-,-,-","28,255,25,575,25,215,25,090,22,810,20,235,19,960,17,760,16,045,15,770,15,565,15,480,14,140,14,055,12,715,11,290,10,725,10,725,9,660,9,300,9,300,9,300,8,735,8,735,8,735,8,235,7,310,7,310,6,245,5,320,5,320,4,255,4,255,1,060,1,060"
,,,
"Mick Fanning,Kelly Slater,Joel Parkinson,Jordy Smith,Taj Burrow,Julian Wilson,Kai Otton,Nat Young,Josh Kerr,John John Florence,C.J. Hobgood,Michel Bourez,Adriano de Souza,Gabriel Medina,Filipe Toledo,Sebastian Zietz,Adrian Buchan,Jeremy Flores,Miguel Pupo,Freddy Patacchia Jr.,Bede Durbidge,Matt Wilkinson,Brett Simpson,Adam Melling,Kolohe Andino,Patrick Gudauskas,Yadin Nicol,Damien Hobgood,Alejo Muniz,Kieren Perrow,Dusty Payne,Glenn Hall,Raoni Monteiro,Willian Cardoso,Tiago Pires,Owen Wright,Heitor Alves","Australia,United States,Australia,South Africa,Australia,Australia,Australia,United States,Australia,Hawaii,United States,France,Brazil,Brazil,Brazil,Hawaii,Australia,France,Brazil,Hawaii,Australia,Australia,United States,Australia,United States,United States,Australia,United States,Brazil,Australia,Hawaii,Ireland,Brazil,Brazil,Portugal,Australia,Brazil","6,500,5,200,6,500,8,000,5,200,6,500,4,000,10,000,5,200,6,500,10,000,1,750,5,200,10,000,4,000,8,000,1,750,5,200,500,10,000,8,000,1,750,1,750,5,200,10,000,4,000,1,750,6,500,6,500,6,500,1,750,6,500,10,000,5,200,1,750,4,000,6,500,4,000,5,200,500,5,200,6,500,4,000,4,000,5,200,500,10,000,4,000,4,000,1,750,5,200,1,750,1,750,1,750,5,200,5,200,8,000,5,200,5,200,5,200,1,750,5,200,1,750,1,750,1,750,6,500,5,200,5,200,10,000,4,000,1,750,8,000,4,000,4,000,6,500,500,1,750,500,8,000,4,000,1,750,4,000,1,750,5,200,6,500,5,200,5,200,500,6,500,1,750,1,750,500,500,6,500,4,000,5,200,500,5,200,4,000,8,000,1,750,4,000,1,750,6,500,5,200,4,000,4,000,500,5,200,4,000,6,500,500,4,000,500,8,000,500,6,500,4,000,1,750,1,750,500,10,000,8,000,500,4,000,500,4,000,1,750,1,750,1,750,1,750,1,750,6,500,500,1,750,1,750,1,750,8,000,500,1,750,1,750,5,200,5,200,500,1,750,500,1,750,6,500,1,750,500,1,750,1,750,5,200,5,200,1,750,500,1,750,1,750,1,750,5,200,500,4,000,5,200,500,1,750,10,000,500,1,750,500,500,4,000,1,750,1,750,4,000,1,750,4,000,1,750,1,750,500,4,000,500,500,1,750,1,750,1,750,1,750,500,1,750,4,000,5,200,500,500,500,1,750,4,000,5,200,1,750,1,750,1,750,1,750,5,200,1,750,1,750,500,500,1,750,1,750,500,1,750,1,750,5,200,500,500,1,750,1,750,1,750,500,500,4,000,500,4,000,500,1,750,1,750,500,500,1,750,4,000,500,500,4,000,500,500,500,500,1,750,4,000,500,1,750,1,750,500,1,750,1,750,4,000,500,500,1,750,1,750,500,500,500,500,1,750,-,-,500,5,200,1,750,500,1,750,-,-,500,1,750,1,750,1,750,500,500,500,5,200,500,1,750,500,1,750,1,750,1,750,500,500,1,750,500,1,750,1,750,500,500,500,500,1,750,1,750,1,750,500,500,500,500,1,750,500,1,750,500,1,750,1,750,395,1,750,1,750,500,500,500,500,500,500,500,1,750,500,500,4,000,500,500,500,500,500,500,500,500,4,000,500,500,500,-,500,-,500,395,500,5,200,-,-,500,-,-,-,-,-,500,1,750,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,-,-,-,1,750,-,-,-,-,-,-","54,400,54,150,48,450,43,150,42,900,40,950,39,600,38,000,36,100,35,150,34,650,33,000,31,750,25,000,24,400,24,350,24,200,23,000,18,450,18,450,16,200,15,950,14,750,14,750,12,500,12,450,12,450,10,250,10,250,9,000,7,750,7,500,7,395,6,200,5,250,4,000,1,750"
,,,
